,discount,learning rate,mf weight,mb weight,repetition,subject
238,0.65192544,0.12872776,3.468131,5.043228,0.24470352,22
239,0.69882244,0.1640319,4.399597,3.77215,0.05370256,23
240,0.3109781,0.7856226,0.8173256,3.1445174,0.20752946,0
241,0.79696983,0.19105828,1.3202913,2.3477995,0.7582723,1
242,0.34348065,0.53757983,1.49902,2.65904,0.12348822,2
243,0.4424276,0.6069074,0.8802622,1.6624744,0.2748603,3
244,0.21172366,0.51631725,2.0672884,1.4151925,0.061071847,4
245,0.27851704,0.5751441,2.395909,1.5044751,0.7392652,5
246,0.63716793,0.56531155,2.5425274,1.632676,0.36863863,6
247,0.097837225,0.680912,3.1112313,1.1687305,0.22617805,7
248,0.22693786,0.26879933,3.5748134,4.335083,0.84117967,8
249,0.864251,0.66805255,1.6281943,1.9554245,0.07208941,9
250,0.7852882,0.25621074,2.296674,1.2336894,0.41797522,10
251,0.5678521,0.59685045,3.6811337,3.1992896,0.7979934,11
252,0.29567713,0.45946154,3.8460953,3.870748,0.42758608,12
253,0.84946096,0.8251805,3.2273626,3.6938825,0.37037426,13
254,0.15925203,0.5372051,1.5737607,1.9208608,0.2342082,14
255,0.5275963,0.25649977,1.2664688,2.2330534,0.32517722,15
256,0.1399343,0.84826833,3.140211,2.0043392,0.1060295,16
257,0.49371612,0.29796705,1.6905465,3.4274702,0.7937322,17
258,0.64585114,0.34647894,4.316513,2.4055057,0.60501426,18
259,0.077723876,0.68079257,2.0945756,1.0057968,0.32935905,19
260,0.318488,0.73098826,1.8727365,2.531571,0.27618784,20
261,0.51940674,0.46287787,4.740161,5.124594,0.63291895,21
262,0.7897233,0.12184884,3.017796,4.9317646,0.23083656,22
263,0.61767346,0.4381099,4.010259,5.605219,0.45056614,23
264,0.15175743,0.7314329,3.3293152,1.5685841,0.26714548,0
265,0.6703224,0.26743025,2.8802466,3.4011168,0.7317064,1
266,0.47578946,0.71204966,2.6231077,4.0223913,0.18802929,2
267,0.48594838,0.51893866,0.1876718,3.0837893,0.07538825,3
268,0.5762192,0.72718763,1.0674449,3.0143523,0.29258552,4
269,0.45920992,0.65474343,3.2468252,1.6076713,0.1639898,5
270,0.3689846,0.71319133,3.9394562,2.133991,0.41070908,6
271,0.19544354,0.7974903,2.8772583,3.172481,0.25998893,7
272,0.4049003,0.2575799,1.6030945,4.954798,0.57403535,8
273,0.49596533,0.7688691,3.0818632,1.8775327,0.34628123,9
274,0.90923357,0.31912217,3.2698684,0.66380084,0.27398637,10
275,0.5228268,0.5390409,3.17834,2.4557414,0.86017686,11
276,0.23018995,0.3157643,1.5863875,2.0118072,0.30381694,12
277,0.2919563,0.6029578,2.5080519,0.7620952,0.5465006,13
278,0.33540344,0.7968673,1.4858673,4.4451847,0.22688916,14
279,0.36118838,0.25041723,1.9998976,0.94295007,0.29092422,15
280,0.5623401,0.7013553,1.1942381,1.8774222,0.118839525,16
281,0.69883,0.60812527,4.701077,5.1261578,0.29491454,17
282,0.7857772,0.33442622,4.1174445,4.2370257,0.6025473,18
283,0.5555214,0.67602086,1.9713633,1.071133,0.08823695,19
284,0.43897346,0.78012395,3.886742,1.2010658,0.07632085,20
285,0.68907434,0.342307,2.6620028,4.3794165,0.3463373,21
286,0.4687933,0.083531566,2.9380815,3.5697703,0.6201568,22
287,0.63336754,0.2586241,4.150917,5.2037525,0.5562397,23
288,0.19192614,0.6298812,1.865449,1.7550957,0.16044056,0
289,0.77992254,0.24011122,3.2830224,3.090143,0.022731397,1
290,0.2720122,0.2081647,0.80975616,2.1616273,0.07870393,2
291,0.20981272,0.57155967,3.1503973,0.65279174,0.11064718,3
292,0.37525105,0.78302574,2.7370138,2.8119678,0.099994615,4
293,0.63048166,0.61739606,1.7406261,1.8807995,0.076592274,5
294,0.7315314,0.5396095,2.8018408,2.5403466,0.07467299,6
295,0.6014552,0.54158074,0.882488,0.6008042,0.2671418,7
296,0.406987,0.45246983,4.8123717,3.8760095,0.9527679,8
297,0.6376605,0.6782497,2.3004766,1.3519497,0.19585401,9
298,0.7135928,0.5115078,4.826278,2.841842,0.9743192,10
299,0.8460965,0.43529066,0.9615871,3.2853208,0.48619077,11
300,0.27762958,0.25430766,0.90218866,2.485672,0.21499273,12
301,0.69980234,0.73926586,4.011808,0.9887858,0.349235,13
302,0.22684371,0.75226516,3.3068757,3.3611846,0.08413088,14
303,0.4883577,0.4188491,2.2700086,4.3357487,0.7985471,15
304,0.15818283,0.7043344,1.4742789,1.5438745,0.21023783,16
305,0.4910727,0.53208643,4.4081163,4.9339457,0.921739,17
306,0.57199746,0.38424662,4.241025,2.643661,0.2881539,18
307,0.19920796,0.60070634,2.2494986,1.5599089,0.09870147,19
308,0.5885638,0.46628022,0.8474604,2.2627802,0.24163455,20
309,0.65553635,0.4231237,3.6296453,4.403112,0.55808127,21
310,0.85803086,0.22695503,3.9634573,4.9461946,0.5454665,22
311,0.7812658,0.15459579,4.158431,2.9364967,0.64259857,23
312,0.23200272,0.70680946,0.93899226,2.1318593,0.3092416,0
313,0.7660996,0.17314722,1.4083917,0.8946129,0.061287403,1
314,0.063650936,0.46868077,4.16327,2.4445293,0.14378296,2
315,0.58732516,0.7294796,1.5823202,2.7405267,0.14624724,3
316,0.2823603,0.47398138,1.1579224,1.9893333,0.15836985,4
317,0.42905092,0.5230469,1.5569375,2.4791555,0.2703746,5
318,0.45705888,0.4848561,2.2356668,1.6377565,0.3156096,6
319,0.28114367,0.831412,1.558177,2.0858734,0.25199714,7
320,0.26191288,0.2684713,2.2328634,4.5532227,0.41004762,8
321,0.58551884,0.6702977,1.9610956,1.2207721,0.36208323,9
322,0.7514203,0.29998225,3.802915,1.714474,0.73839414,10
323,0.79583484,0.48022327,3.1046786,2.4122872,0.53476,11
324,0.35676178,0.37926584,2.259232,2.271763,0.19798614,12
325,0.702197,0.6201564,2.423633,0.8333036,0.30483192,13
326,0.24561495,0.7348398,3.1461277,2.0972335,0.14785326,14
327,0.22923642,0.38295957,4.651418,1.5342697,0.25571644,15
328,0.15082365,0.7521579,2.7353544,1.9305513,0.17381981,16
329,0.5012659,0.4859263,4.1094246,3.106429,0.5746293,17
330,0.6649577,0.25758827,3.308399,2.2066216,0.021540536,18
331,0.39777666,0.72667503,1.3795836,1.0442879,0.15064499,19
332,0.53702384,0.6789406,1.142172,2.2608385,0.2868728,20
333,0.8422416,0.5574459,4.358596,5.714802,0.5101239,21
334,0.87284654,0.20005281,2.0313025,5.3053164,0.44953185,22
335,0.6634717,0.23177683,3.146429,3.4467144,0.6026013,23
336,0.30168816,0.6020174,0.8669858,2.2529428,0.111578606,0
337,0.4630268,0.26625246,4.248726,2.0445666,0.7987999,1
338,0.2273436,0.33143887,1.359946,2.761753,0.09349564,2
339,0.38458937,0.18190692,0.3140006,0.9211434,0.1417189,3
340,0.28979307,0.57640034,0.5806552,2.8476667,0.43505883,4
341,0.4740251,0.54097694,2.0224686,1.0151722,0.45330375,5
342,0.70495427,0.61295503,1.8112228,1.4757521,0.18673074,6
343,0.3127487,0.38313708,1.6568496,0.329891,0.30878666,7
344,0.30827546,0.25043622,2.19822,3.2139308,0.17515638,8
345,0.75539255,0.7726928,4.5374494,1.1557178,0.03753859,9
346,0.50389177,0.31298304,4.040929,1.0448595,0.52454144,10
347,0.71864337,0.3047068,0.79710054,1.6268603,0.19841814,11
348,0.26283872,0.372658,2.3184466,2.9098072,0.5587458,12
349,0.76164895,0.58142257,1.6177958,1.2411916,0.19316165,13
350,0.5290154,0.84163463,2.899392,3.0795758,0.10607378,14
351,0.46140638,0.35615528,3.8006792,0.95663655,0.32442632,15
352,0.3599724,0.6915581,1.2945098,1.7259117,0.19893715,16
353,0.40074843,0.56026715,5.049055,3.4545083,0.7052262,17
354,0.7188717,0.35738707,4.028389,4.7259884,0.43122023,18
355,0.32361263,0.6797949,0.98078465,1.8410311,0.17850915,19
356,0.3304848,0.768685,2.5266018,1.7069539,0.2823721,20
357,0.5198289,0.23409973,2.3033257,1.7819874,0.5150895,21
358,0.61109823,0.15669271,3.4768474,4.496932,0.5906438,22
359,0.67419904,0.17606008,4.0686045,4.7758875,0.6441919,23
360,0.26749983,0.86358327,3.067429,3.7539947,0.17344844,0
361,0.7945336,0.4542567,5.518359,5.203598,0.70245016,1
362,0.15955697,0.47928062,1.8095523,2.728838,0.30887327,2
363,0.20578064,0.58525443,1.2270794,1.7441442,0.24375579,3
364,0.20172748,0.63559943,2.776571,2.5370748,0.2519708,4
365,0.6748283,0.7245495,2.9076269,3.830221,0.22586456,5
366,0.7563471,0.7516069,1.9730527,4.386666,0.38557285,6
367,0.21104711,0.5559851,1.3692783,1.0838978,0.122483574,7
368,0.5096505,0.35679936,3.6309338,5.429748,0.502976,8
369,0.52148736,0.5898054,2.7338948,0.6753005,0.20601723,9
370,0.83633614,0.3749549,3.3363652,1.5050143,0.7419242,10
371,0.7025417,0.57792825,3.222544,4.861289,0.10403401,11
372,0.54828954,0.38296852,1.6159332,3.5639215,0.17936331,12
373,0.45607978,0.5841962,3.6758728,1.1013188,0.4626614,13
374,0.4198729,0.7791315,2.369422,4.519719,0.17797664,14
375,0.428616,0.19918677,1.5291288,0.89558864,0.57755786,15
376,0.27870068,0.64265215,1.0579944,1.6527123,0.428698,16
377,0.6366357,0.46714672,2.7161558,5.668434,0.7651222,17
378,0.9032244,0.2519147,1.6742781,3.9283876,0.2853909,18
379,0.5875274,0.45214826,0.46573192,0.7078744,0.2031289,19
380,0.33143148,0.5934431,1.5593451,1.7521659,0.2426221,20
381,0.8251488,0.5560425,4.2058973,5.420105,0.6449456,21
382,0.885161,0.23409764,2.7123215,2.856426,0.13045838,22
383,0.9115798,0.35944358,4.790151,1.517654,0.29929194,23
384,0.46720043,0.6126013,0.7976004,3.043148,0.085090615,0
385,0.81509775,0.2509077,3.9824266,1.2137544,0.07771065,1
386,0.29600298,0.5396156,2.5634503,2.9837627,0.10303114,2
387,0.5308945,0.6595891,1.012286,1.7609103,0.26177475,3
388,0.2518962,0.6995552,1.1930248,3.3630009,0.13705556,4
389,0.5243641,0.6074207,1.7958751,1.8340945,0.39826882,5
390,0.4198648,0.6229815,3.062644,3.0821795,0.20011844,6
391,0.24395712,0.8421144,3.5097632,3.4810948,0.24223255,7
392,0.18883447,0.3742955,4.7833114,3.743976,0.91430575,8
393,0.8198698,0.71796626,2.1403623,2.120628,0.15380394,9
394,0.802164,0.5122213,4.382267,4.5392485,0.28147545,10
395,0.73724544,0.47882193,2.446517,2.7642627,0.31320953,11
396,0.35317233,0.5138773,3.2455945,2.9162884,0.07319338,12
397,0.60806113,0.66784614,4.0623164,0.5172691,0.17942883,13
398,0.073625214,0.81727666,4.2607393,3.0978317,0.3408935,14
399,0.56367415,0.33661416,2.321771,2.181817,0.724916,15
400,0.60623145,0.840849,1.5483963,2.7513363,0.09030336,16
401,0.7685951,0.3865862,1.9176929,2.2118545,0.45444235,17
402,0.5383085,0.2901182,4.4752007,2.5886998,0.46178532,18
403,0.24182162,0.7425079,0.88114834,0.9989573,0.2532102,19
404,0.25059974,0.5582858,3.1051877,0.6417782,0.18780354,20
405,0.8207676,0.48470056,3.9699297,3.7573743,0.73953295,21
406,0.38942242,0.27576923,4.516968,4.414745,0.13105059,22
407,0.25238732,0.10494211,2.0399117,4.38673,0.47955143,23
408,0.49762487,0.7692788,1.4898221,3.2802238,0.06328122,0
409,0.47087246,0.25935233,2.5049,3.6436996,0.5520567,1
410,0.34883127,0.65941507,1.562376,2.4241464,0.20388721,2
411,0.22006355,0.6842479,2.8867693,2.1795688,0.19559935,3
412,0.19278848,0.8559556,3.292574,2.520052,0.38802075,4
413,0.43654725,0.5062972,2.0329046,0.80091226,0.3726351,5
414,0.5487919,0.46846,1.7829728,2.2039335,0.13783705,6
