,locs0,locs1,locs2,subject
332,1.6695361,0.7431383,1.427925,20
333,4.9152026,-2.8951857,-0.8007801,21
334,1.8286883,1.6416112,0.81257045,22
335,-2.4522974,-0.008190662,0.6506114,23
336,1.2273586,1.6383805,-0.17907688,0
337,1.3987579,0.3031428,-0.3479482,1
338,0.22930121,1.451027,0.9420374,2
339,0.8820548,0.39171717,1.3087788,3
340,2.992783,0.5652499,1.6241579,4
341,0.08087683,0.62985325,-1.9768744,5
342,-2.377677,0.5385574,-0.6058482,6
343,2.7671645,0.61390394,-0.031809434,7
344,-3.4298239,-0.71265364,-1.8490226,8
345,0.61715865,0.1619217,1.5842791,9
346,-3.0285673,-0.14640975,-0.2526955,10
347,1.2959446,-0.7607093,0.5400758,11
348,0.16775236,-0.30112436,-0.77485704,12
349,1.377653,0.7511225,2.505129,13
350,-1.2874582,-0.6462741,0.016819715,14
351,-3.3477533,-0.6503394,1.4229902,15
352,-2.750286,0.5977791,0.12831187,16
353,2.9845676,0.012810014,0.60258365,17
354,-2.4527364,1.6484313,-1.0419981,18
355,-0.27029562,0.42689252,1.0094852,19
356,2.3806899,-0.20601207,1.0370238,20
357,2.681797,-2.2913363,-0.5547421,21
358,1.9976346,0.81705034,0.99550366,22
359,-1.6476121,0.016156048,-0.16335988,23
360,0.9006847,1.0771911,0.5454768,0
361,2.88316,0.8041975,-1.3369669,1
362,4.423257,1.6758243,2.025579,2
363,1.7865012,0.37417185,0.86610126,3
364,-0.03331673,1.3056939,1.7379622,4
365,-1.8021871,0.3603939,-2.3486817,5
366,-2.509095,-0.48206702,-0.11494079,6
367,1.1675652,0.9693314,-0.44933528,7
368,-2.887882,-2.5089874,-1.3965629,8
369,0.36402446,0.05468212,1.3743116,9
370,-1.646687,0.892316,-0.46551648,10
371,0.8805239,-0.08514768,0.9242101,11
372,-0.23200786,-0.80554485,-0.422805,12
373,2.853121,0.8753044,1.6496192,13
374,-1.2853707,-0.34653258,-0.7665443,14
375,-3.200934,0.2930928,0.9691155,15
376,-3.495809,0.98621476,-0.58273244,16
377,1.7279838,-0.65507114,0.53696346,17
378,-3.3032727,0.7349963,-2.000551,18
379,0.95641565,-0.040348887,2.3946657,19
380,2.3896542,1.0834757,1.9327625,20
381,0.2633015,-3.6418078,-0.8135447,21
382,1.3742758,0.70745295,0.8286481,22
383,-1.9626698,-0.004513681,0.5668253,23
384,1.4936781,0.71791697,-1.3772031,0
385,2.089676,-0.6735531,-1.4080275,1
386,2.2687955,1.326576,1.3098526,2
387,-0.1112532,0.16352561,0.69840324,3
388,1.3816106,1.0170553,1.3122404,4
389,-2.9925156,-0.18227008,-1.7131616,5
390,-2.8113472,-0.46849787,-0.51114,6
391,2.007183,1.1967826,0.3648705,7
392,-0.87291443,-3.8420763,-1.4545126,8
393,0.7914461,-0.0047696084,1.0865362,9
394,-0.9259418,0.032316297,-1.1660825,10
395,0.47786197,-0.8252003,0.4897673,11
396,-0.11654246,-0.76504433,-0.628369,12
397,0.96599805,0.92448103,1.9559698,13
398,-2.2242413,-0.5320419,-0.45224223,14
399,-2.756755,0.114865206,1.2729679,15
400,-2.7076318,0.06376535,0.030191567,16
401,1.6377325,-0.15085192,2.4121284,17
402,-2.2313585,2.4201207,-0.9598721,18
403,2.0355992,-0.15664971,1.3192677,19
404,0.4745291,0.56655335,1.2487973,20
405,3.9867196,-2.405423,-0.5549793,21
406,1.3697366,0.6049868,0.3145097,22
407,-1.7258096,0.77543473,0.28438032,23
408,0.9259132,1.3465204,1.053421,0
409,2.815896,-0.57285446,-0.7320406,1
410,1.6529746,1.6288344,0.85473454,2
411,0.612969,0.5026155,0.81665206,3
412,1.5860701,0.9785708,2.2777076,4
413,-3.1639576,-1.0690407,-1.6592374,5
414,-2.1135948,0.4862201,-0.06680983,6
415,3.518209,1.7630978,-0.24696082,7
416,-1.5244218,-1.141107,-2.0992112,8
417,1.1645541,0.5101996,2.44998,9
418,-4.210345,0.3015854,-0.23742956,10
419,0.7364106,-0.25677747,1.1700709,11
420,-0.97518885,-1.0894588,-0.41819644,12
421,2.3633316,0.0072586536,1.5354614,13
422,-1.3569908,-0.256173,-0.23401195,14
423,-2.2335017,0.35482287,1.2346913,15
424,-2.7353737,1.2130427,-0.74449235,16
425,1.7083113,-0.98478234,0.14822423,17
426,-1.7911966,0.93305635,-2.1458313,18
427,3.2397623,0.6345351,1.7689642,19
428,1.1752765,-0.04161635,1.2057832,20
429,2.3203156,-3.1825829,-0.6585463,21
430,1.4438766,0.48333114,1.1878242,22
431,-2.1271913,0.8325082,1.7206454,23
432,1.1842384,1.1437002,-0.19019303,0
433,0.82098174,-0.055449925,-0.69874966,1
434,-0.7012881,1.1326067,1.8919641,2
435,-0.036891222,0.31938303,1.9278082,3
436,1.8721609,1.7130474,1.4391372,4
437,-2.885953,0.3538362,-1.5515447,5
438,-2.1507027,-0.5975152,0.28659064,6
439,2.3915837,0.9316935,-0.89580137,7
440,-5.1514072,-2.8564446,-1.6699114,8
441,0.7349471,0.32913744,1.6899174,9
442,-2.0646536,0.70384574,-0.3494593,10
443,0.6170124,-0.6349089,1.8907027,11
444,-0.60186076,-0.8307445,-0.65385586,12
445,2.0605114,0.11046976,0.2668103,13
446,-2.3344536,-0.36773288,-0.46036184,14
447,-3.2837234,-0.5883598,1.3640499,15
448,-3.1014447,0.8323151,-0.02920898,16
449,1.8541541,0.25760755,1.3139266,17
450,-3.0754943,0.06352419,-1.9292562,18
451,1.5532486,0.4928782,2.4154449,19
452,1.2502337,1.2636222,2.4587507,20
453,2.7586977,-0.8263911,-0.016536102,21
454,1.7753692,0.97453153,1.2951723,22
455,-2.4758034,0.13818619,-0.0012922287,23
456,1.5107856,1.5325303,0.18443546,0
457,2.163475,0.3700473,-0.44141656,1
458,1.8016468,0.8907944,2.7984662,2
459,2.8405995,0.2976469,-0.18267953,3
460,-0.20206761,1.988476,1.5851469,4
461,-5.057126,1.6059084,-1.4054509,5
462,-2.8253012,-0.81284285,-0.60944384,6
463,2.182988,1.2937268,-0.15824318,7
464,-3.0561333,-1.0113394,-1.4604299,8
465,0.10975486,0.23535056,2.3979678,9
466,-1.2406131,1.101902,-0.8654343,10
467,0.19403538,-0.22994557,1.3336039,11
468,-0.3144412,-0.30504376,-0.49655792,12
469,1.4545395,1.4238291,1.1997408,13
470,-1.9078338,-1.569216,-0.78928924,14
471,-3.261833,0.024620965,1.4139117,15
472,-3.5391352,0.5850452,-0.35659605,16
473,2.004051,-0.1754259,0.84007,17
474,-2.6535368,2.102499,-1.5394607,18
475,2.4544168,0.38416207,1.5663856,19
476,1.8763797,0.45660776,2.5502539,20
477,2.3470757,-1.3703508,0.0014579743,21
478,0.8863542,0.6897751,0.7179285,22
479,-2.870575,0.23065303,0.6446431,23
480,-0.32134023,1.9630237,0.26992992,0
481,0.8215238,-0.67045796,-0.8119736,1
482,2.419965,1.0329262,2.6929846,2
483,1.0783889,0.24728438,0.95184296,3
484,3.0077977,0.9583678,1.7225145,4
485,-3.0200007,0.7611699,-2.0314152,5
486,-3.155496,-0.5546732,-1.5765815,6
487,2.5899749,0.089553475,-0.4424808,7
488,-3.994434,-2.3610911,-1.7416693,8
489,-1.4014294,0.22036381,1.665868,9
490,-2.3811886,0.52384555,0.18414214,10
491,0.5687755,-0.79548466,1.3720701,11
492,-0.74486816,-0.36376172,-1.0249403,12
493,3.5232275,1.0603641,1.0812156,13
494,-1.8298556,-0.47261685,0.029417515,14
495,-3.3570402,0.2053347,1.4941553,15
496,-2.4702158,0.3050322,0.19095697,16
497,2.445929,0.19488525,0.28744948,17
498,-2.499304,0.8119821,-1.4295086,18
499,3.8581715,0.70234966,2.0599291,19
500,0.6603523,0.46479717,1.6180794,20
501,2.2637227,-3.1658702,-1.0827572,21
502,1.3471799,1.1570039,0.34653878,22
503,-2.4539256,-0.058149904,-0.49991542,23
504,0.2645005,1.017281,-0.50676596,0
505,2.0526202,-0.5742038,-1.22572,1
506,1.7571932,0.7234369,1.2722071,2
507,1.3620732,0.013438582,0.28684282,3
508,0.43783963,1.6553113,2.04046,4
509,-2.2932973,0.027726054,-2.415661,5
510,-2.9973166,-0.89141893,0.076281905,6
511,2.7976391,0.50552154,0.024771765,7
512,-4.4369173,-1.1634696,-1.4101102,8
513,0.50301105,0.05432859,2.1821635,9
514,-1.2025095,0.7087557,-0.058957368,10
515,1.303051,-0.6944678,0.412036,11
516,-1.2238032,0.39307642,-0.62482226,12
517,2.385469,1.6669648,1.5786312,13
518,-1.3734374,-1.366715,-0.44761807,14
519,-3.357532,0.19745904,1.0975856,15
520,-2.2261555,0.31338412,-0.20272821,16
521,1.4957738,0.35517758,0.23658681,17
522,-1.7995727,1.5404093,-1.8007696,18
523,2.0696027,0.15964699,2.0653734,19
524,0.36383724,0.2195324,1.5998065,20
525,2.877994,-0.79298735,0.33416718,21
526,2.0640244,-0.012392759,0.24729484,22
527,-2.7605612,0.5449856,1.0135609,23
528,0.3408374,1.574883,-0.18297589,0
529,1.2435175,0.4011643,-1.2364379,1
530,2.0678687,1.8318592,1.5694344,2
531,1.3888516,0.29021138,0.022580981,3
532,0.17820752,1.2126935,1.6828146,4
533,-2.9947064,0.2906252,-1.9279238,5
