,discount,learning rate,mf weight,mb weight,subject,true discount,inferred discount,true learning rate,inferred learning rate,true mf weight,inferred mf weight,true mb weight,inferred mb weight
18972,0.39805043,0.13307135,4.0703044,4.7111545,22,0.73351324,0.35144067,0.14316458,0.121879995,1.5965724,2.629053,5.654798,4.169049
18973,0.81539345,0.58283585,3.4835649,5.236809,23,0.6785201,0.63063806,0.5490863,0.528569,3.822877,3.3756907,5.6972275,4.726464
18974,0.44842005,0.66723907,3.7080278,0.52362674,24,0.33290517,0.36873353,0.5827464,0.60328525,4.74405,4.2174754,1.7128347,0.9100662
18975,0.10297575,0.6816771,2.3840046,4.370021,25,0.32370323,0.28992945,0.76958376,0.7751212,0.45333695,1.6192365,5.1483293,5.3674197
18976,0.44875848,0.47262308,4.193534,4.7748394,26,0.3787797,0.5156165,0.42750794,0.39768544,3.6476984,2.4459658,5.7759023,4.7648253
18977,0.14940345,0.47891536,2.3219328,0.73293215,27,0.33786625,0.34111172,0.5738422,0.53973895,1.8184544,1.9689229,1.0659735,1.3098323
18978,0.8841751,0.056507166,5.1168895,0.11003122,28,0.6622398,0.5220581,0.07255471,0.07478657,3.6662445,3.670275,4.6678104,3.8039548
18979,0.6242807,0.10463511,3.4833305,2.1056464,29,0.6026847,0.56093585,0.013551712,0.09355707,4.815852,3.96535,4.093859,3.6795325
18980,0.15419975,0.24560899,2.044365,1.4744244,30,0.20085877,0.20793112,0.31683046,0.29709056,3.5731754,3.2155473,1.0855039,0.9502516
18981,0.58489287,0.8988801,1.5752909,4.530873,31,0.28801745,0.45608398,0.83391553,0.816736,2.5248003,2.2063322,3.813152,2.9531515
18982,0.57396746,0.11986131,4.4443913,2.5575898,32,0.98874456,0.5641695,0.061059773,0.07380605,2.2658393,3.9770267,3.0043058,3.63191
18983,0.37966177,0.48915043,4.829423,5.687555,33,0.63672537,0.57036585,0.40588617,0.42274216,2.7018304,3.2844858,5.830438,4.973302
18984,0.37695807,0.31599993,1.2852693,3.0921307,34,0.3341614,0.38758263,0.48286033,0.46918973,2.835773,3.0642836,3.9866977,4.2834377
18985,0.69084597,0.62906075,1.1535532,3.719917,35,0.41077733,0.38982496,0.65266,0.7227167,1.919069,2.3139594,3.3615708,3.6914783
18986,0.6978388,0.8096988,5.1671686,2.7653635,36,0.733877,0.6865447,0.74258584,0.741913,4.926414,4.198592,5.643794,3.4799175
18987,0.1250275,0.75413185,1.6985953,2.6757712,37,0.30139792,0.21087405,0.6694874,0.6854443,1.3996736,1.3202745,2.4276152,2.9040978
18988,0.5769897,0.29802105,0.29430902,2.1739671,38,0.7226378,0.39581233,0.39211148,0.42824915,0.4595307,1.1625623,2.1772208,2.3742368
18989,0.10738132,0.74958956,0.45179254,0.4926046,39,0.5337058,0.28613293,0.5798341,0.62098604,0.24203753,0.45671317,0.34667838,0.407232
18990,0.27967978,0.34199026,0.6340802,5.236599,40,0.068210185,0.19224767,0.40949064,0.3525084,5.263585,2.0274453,5.10722,5.112011
18991,0.88275623,0.6062761,1.7090254,1.5145488,41,0.5762577,0.6956764,0.7048342,0.62992376,3.3352942,2.2919376,0.37677133,1.5891892
18992,0.6189266,0.65246886,1.8648973,4.233638,42,0.3977363,0.4501963,0.586761,0.63054335,2.9976969,2.9297316,3.272117,3.855044
18993,0.48417255,0.12881055,3.6547623,4.080652,43,0.45615906,0.5608453,0.04345858,0.085803926,5.4495735,3.8864045,4.153381,3.5769477
18994,0.7872423,0.8971539,2.3850222,2.0317476,44,0.5961824,0.61169094,0.986593,0.83113647,3.0212722,2.6153705,1.872198,1.3093991
18995,0.8641221,0.80894065,4.507158,2.0578496,45,0.90195507,0.76847625,0.65988433,0.72020185,3.8244696,4.452497,0.20849097,2.123478
18996,0.21199125,0.10085927,2.7311046,0.98833877,46,0.124061644,0.30643594,0.10732764,0.12818949,4.0994177,3.1957114,0.005280733,2.5308003
18997,0.35655126,0.8050365,0.59406275,1.773653,47,0.06435162,0.19849758,0.860598,0.76514107,1.0809935,1.1323386,0.55274,0.97900844
18998,0.38398954,0.8005934,4.2694407,1.2008456,48,0.22109681,0.4824445,0.89868003,0.7226183,5.815591,2.910898,2.117046,1.4430195
18999,0.8043272,0.27799764,2.017767,5.1380224,49,0.9583124,0.65604895,0.31414592,0.24940701,5.165711,4.0526195,4.4634795,3.138546
19000,0.9298411,0.67461085,4.729174,4.2183685,0,0.92978925,0.7950751,0.72846437,0.6108871,5.8300567,4.535428,2.053999,2.1444511
19001,0.13082355,0.8891341,1.102468,1.0243382,1,0.10158658,0.18877105,0.8516699,0.7834003,1.6539434,1.0787475,0.82444847,1.0201395
19002,0.28361973,0.48211664,4.689645,4.6194534,2,0.5100246,0.31441668,0.3487808,0.41053307,1.0886478,3.246451,3.8731656,4.3141456
19003,0.60609394,0.60141486,2.9558077,2.9501376,3,0.20072603,0.3705862,0.4966032,0.54337645,5.106858,3.5128815,1.2571095,2.0030417
19004,0.19043988,0.6169644,3.416061,4.785594,4,0.5636237,0.3992468,0.5915639,0.59961,1.1047064,2.4198163,5.057411,4.69016
19005,0.16203909,0.21957782,1.1943847,1.197972,5,0.08224088,0.13952766,0.2007947,0.2395579,0.3191929,1.0988104,1.8089586,1.8138667
19006,0.90139353,0.7008345,4.2859926,1.4575884,6,0.6974948,0.81844556,0.7855255,0.7395788,5.360653,4.5570693,2.7254667,1.4402468
19007,0.030368688,0.25296938,4.297001,1.0862832,7,0.010758042,0.06142054,0.15983975,0.19501643,4.6170077,1.9639388,0.893319,1.4054686
19008,0.30579737,0.45027912,1.4621495,4.920266,8,0.2935878,0.29167584,0.5445034,0.54802674,3.1822925,2.8042734,5.1143513,4.9681425
19009,0.63383746,0.1553333,3.7126558,3.6293974,9,0.5453103,0.53567386,0.13225424,0.11366851,5.209705,3.6818197,2.3316028,3.6639912
19010,0.5856809,0.68230087,3.142013,4.933777,10,0.46085912,0.5212114,0.64375603,0.65076756,3.4229932,2.891805,5.552685,4.52674
19011,0.6553259,0.062146507,2.28858,4.7051344,11,0.5410338,0.5558396,0.043361664,0.08683964,5.8079586,3.8212252,2.8920698,3.7385259
19012,0.25361454,0.56795603,3.614821,1.6630132,12,0.2832759,0.37024975,0.5831162,0.62677324,4.439723,2.9542732,0.9243032,2.852126
19013,0.059588827,0.29552013,4.5021296,2.998113,13,0.04219389,0.10975407,0.24903256,0.23113458,5.5317655,2.3671308,2.523285,2.7209346
19014,0.074577115,0.47991166,1.808006,2.0526414,14,0.1154325,0.22279115,0.5955821,0.62386173,0.95203936,1.580993,2.8950095,3.1280167
19015,0.21427834,0.7159751,1.2148592,1.0927091,15,0.055960655,0.23120044,0.9656323,0.75285155,0.64943147,0.78305346,1.2614079,1.0170022
19016,0.38964456,0.84039754,1.1948984,2.6142943,16,0.98046404,0.5577659,0.75334513,0.7519464,0.7787311,1.463625,1.4876801,1.1591189
19017,0.9020123,0.77591646,4.2056293,4.1650476,17,0.53191257,0.7663086,0.7061634,0.7074854,5.435806,4.427908,1.4676597,2.0491323
19018,0.6061743,0.521256,4.635955,1.5166597,18,0.74617314,0.719298,0.5468628,0.5116099,4.5158668,4.344051,4.8820777,2.8619742
19019,0.59901994,0.11159442,4.4437275,3.2770035,19,0.65906227,0.53321177,0.10355556,0.11746788,2.9790888,3.8779254,1.6721281,3.6108873
19020,0.05325093,0.36973402,3.1915245,3.9599113,20,0.1317761,0.22927292,0.3572244,0.39320076,0.51346743,1.7958107,4.579872,4.7659435
19021,0.05248908,0.5621612,2.0447674,2.6891282,21,0.18148541,0.23032472,0.72801006,0.683286,3.9245682,2.0146391,3.0931678,3.3861785
19022,0.57770437,0.12704715,1.8290424,5.460157,22,0.73351324,0.35144067,0.14316458,0.121879995,1.5965724,2.629053,5.654798,4.169049
19023,0.70365655,0.620848,4.264465,5.259756,23,0.6785201,0.63063806,0.5490863,0.528569,3.822877,3.3756907,5.6972275,4.726464
19024,0.38951764,0.7702439,5.00331,1.0607364,24,0.33290517,0.36873353,0.5827464,0.60328525,4.74405,4.2174754,1.7128347,0.9100662
19025,0.3653016,0.828886,1.150188,5.7621865,25,0.32370323,0.28992945,0.76958376,0.7751212,0.45333695,1.6192365,5.1483293,5.3674197
19026,0.45332497,0.359363,2.482709,3.5611448,26,0.3787797,0.5156165,0.42750794,0.39768544,3.6476984,2.4459658,5.7759023,4.7648253
19027,0.24543287,0.7741161,3.2509027,1.6208827,27,0.33786625,0.34111172,0.5738422,0.53973895,1.8184544,1.9689229,1.0659735,1.3098323
19028,0.87584364,0.05681716,3.0407076,2.3890119,28,0.6622398,0.5220581,0.07255471,0.07478657,3.6662445,3.670275,4.6678104,3.8039548
19029,0.5669223,0.13812192,4.8684845,5.903033,29,0.6026847,0.56093585,0.013551712,0.09355707,4.815852,3.96535,4.093859,3.6795325
19030,0.23037049,0.32306615,3.3625703,0.6819469,30,0.20085877,0.20793112,0.31683046,0.29709056,3.5731754,3.2155473,1.0855039,0.9502516
19031,0.35665047,0.75264406,1.5914083,2.7038946,31,0.28801745,0.45608398,0.83391553,0.816736,2.5248003,2.2063322,3.813152,2.9531515
19032,0.6958435,0.0701156,4.598753,3.5023031,32,0.98874456,0.5641695,0.061059773,0.07380605,2.2658393,3.9770267,3.0043058,3.63191
19033,0.67915535,0.44451368,2.54641,5.1836257,33,0.63672537,0.57036585,0.40588617,0.42274216,2.7018304,3.2844858,5.830438,4.973302
19034,0.16328801,0.45601502,4.5021715,3.5046566,34,0.3341614,0.38758263,0.48286033,0.46918973,2.835773,3.0642836,3.9866977,4.2834377
19035,0.20687146,0.65489566,2.663589,1.910816,35,0.41077733,0.38982496,0.65266,0.7227167,1.919069,2.3139594,3.3615708,3.6914783
19036,0.7349594,0.6314976,2.3711052,2.132226,36,0.733877,0.6865447,0.74258584,0.741913,4.926414,4.198592,5.643794,3.4799175
19037,0.22066762,0.6248276,1.1563121,2.5537379,37,0.30139792,0.21087405,0.6694874,0.6854443,1.3996736,1.3202745,2.4276152,2.9040978
19038,0.066396005,0.35869262,2.08764,1.4272671,38,0.7226378,0.39581233,0.39211148,0.42824915,0.4595307,1.1625623,2.1772208,2.3742368
19039,0.050799597,0.6539981,0.3217363,0.5458204,39,0.5337058,0.28613293,0.5798341,0.62098604,0.24203753,0.45671317,0.34667838,0.407232
19040,0.07517007,0.41040647,4.1182055,5.42709,40,0.068210185,0.19224767,0.40949064,0.3525084,5.263585,2.0274453,5.10722,5.112011
19041,0.66991335,0.50235134,1.1909219,1.0751468,41,0.5762577,0.6956764,0.7048342,0.62992376,3.3352942,2.2919376,0.37677133,1.5891892
